grib_id,hrap_x,hrap_y,bin_area
383123,862,342,71968
383124,863,342,6072947
383125,864,342,5973522
383126,865,342,850632
384244,862,343,57742
384245,863,343,14801006
384246,864,343,15693368
384247,865,343,15086782
384248,866,343,9840741
384249,867,343,4010351
384250,868,343,1288429
385366,863,344,11259008
385367,864,344,15703315
385368,865,344,15699642
385369,866,344,15695963
385370,867,344,15692277
385371,868,344,10954822
385372,869,344,755683
386487,863,345,3414695
386488,864,345,15439234
386489,865,345,15709587
386490,866,345,15705904
386491,867,345,15702215
386492,868,345,15698518
386493,869,345,13210003
386494,870,345,2919817
387608,863,346,46064
387609,864,346,6745348
387610,865,346,15669876
387611,866,346,15715847
387612,867,346,15712154
387613,868,346,15708455
387614,869,346,15704748
387615,870,346,15032940
387616,871,346,600281
388731,865,347,6755555
388732,866,347,15725792
388733,867,347,15722095
388734,868,347,15718392
388735,869,347,15714682
388736,870,347,11107751
389852,865,348,2222896
389853,866,348,15661176
389854,867,348,15732038
389855,868,348,15728331
389856,869,348,15724618
389857,870,348,6183117
390974,866,349,10772338
390975,867,349,15741983
390976,868,349,15738272
390977,869,349,15734555
390978,870,349,15165576
390979,871,349,10357958
390980,872,349,3124015
392095,866,350,3940857
392096,867,350,15751929
392097,868,350,15748215
392098,869,350,15744494
392099,870,350,15740767
392100,871,350,15737033
392101,872,350,4483694
393216,866,351,10662
393217,867,351,12179128
393218,868,351,15758159
393219,869,351,15754435
393220,870,351,15750704
393221,871,351,14180496
393222,872,351,213749
394338,867,352,4205000
394339,868,352,15768104
394340,869,352,15764377
394341,870,352,15760642
394342,871,352,8577599
395459,867,353,37
395460,868,353,12007214
395461,869,353,15774320
395462,870,353,15769926
395463,871,353,2799804
396581,868,354,13020118
396582,869,354,15784265
396583,870,354,12767898
397701,867,355,553259
397702,868,355,14254499
397703,869,355,15794212
397704,870,355,6919386
398822,867,356,130453
398823,868,356,12703094
398824,869,356,15510593
398825,870,356,1350369
399944,868,357,6137306
399945,869,357,11052755
401064,867,358,439454
401065,868,358,9616358
401066,869,358,13723998
401067,870,358,10546038
401068,871,358,2370548
402184,866,359,2033
402185,867,359,8746841
402186,868,359,15837766
402187,869,359,15834013
402188,870,359,15830254
402189,871,359,4986497
402190,872,359,290434
403305,866,360,2986988
403306,867,360,15851473
403307,868,360,15847723
403308,869,360,15843967
403309,870,360,15840204
403310,871,360,15312657
403311,872,360,10421068
404426,866,361,2402740
404427,867,361,14475315
404428,868,361,15857682
404429,869,361,15853923
404430,870,361,15850156
404431,871,361,15846383
404432,872,361,14566453
404433,873,361,5964532
405548,867,362,7894768
405549,868,362,15867643
405550,869,362,15151820
405551,870,362,8260721
405552,871,362,8084882
405553,872,362,2725252
405554,873,362,2949089
405555,874,362,77347
406669,867,363,9097868
406670,868,363,15877605
406671,869,363,9951604
407790,867,364,184193
407791,868,364,4411280
407792,869,364,2774146
