grib_id,hrap_x,hrap_y,bin_area
454051,46,406,104638
454052,47,406,277322
455171,45,407,221993
455172,46,407,11359116
455173,47,407,9041076
455174,48,407,2131707
456292,45,408,7930994
456293,46,408,16724447
456294,47,408,16727531
456295,48,408,4037523
457412,44,409,2401
457413,45,409,14086821
457414,46,409,16734835
457415,47,409,10030336
457416,48,409,80627
458533,44,410,4208377
458534,45,410,16742127
458535,46,410,16745224
458536,47,410,3659003
459653,43,411,281968
459654,44,411,12292131
459655,45,411,16752514
459656,46,411,15253556
459657,47,411,635718
460772,41,412,5804761
460773,42,412,8769659
460774,43,412,12521655
460775,44,412,10370655
460776,45,412,9623916
460777,46,412,3945032
461893,41,413,969202
461894,42,413,8777156
461895,43,413,4643848
461896,44,413,257744
461897,45,413,29954
