grib_id,hrap_x,hrap_y,bin_area
460771,40,412,4866736
460772,41,412,3842803
461890,38,413,64311
461891,39,413,8494506
461892,40,413,16650298
461893,41,413,15791585
461894,42,413,7986768
461895,43,413,9017838
463011,38,414,7557290
463012,39,414,16764860
463013,40,414,16768017
463014,41,414,16771166
463015,42,414,16774306
463016,43,414,8292931
464131,37,415,913194
464132,38,415,16288669
464133,39,415,16775234
464134,40,415,16778393
464135,41,415,16781545
464136,42,415,16784689
464137,43,415,13344087
464138,44,415,28802
465252,37,416,3239479
465253,38,416,11251253
465254,39,416,15897894
465255,40,416,16788771
465256,41,416,16791925
465257,42,416,15945690
465258,43,416,2507522
466375,39,417,1275029
466376,40,417,13695104
466377,41,417,16802307
466378,42,417,6176303
467497,40,418,5609517
467498,41,418,16812689
467499,42,418,6111055
468618,40,419,3385353
468619,41,419,16061855
468620,42,419,4412126
469739,40,420,7692
469740,41,420,14418697
469741,42,420,140959
470860,40,421,852839
470861,41,421,5256937
