grib_id,hrap_x,hrap_y,bin_area
455174,48,407,608658
455175,49,407,4320279
455176,50,407,1102766
456295,48,408,10597730
456296,49,408,16733676
456297,50,408,5248972
457415,47,409,6707586
457416,48,409,16660374
457417,49,409,16744049
457418,50,409,1489261
458536,47,410,13089311
458537,48,410,16751396
458538,49,410,16392809
458539,50,410,1678015
459656,46,411,1502058
459657,47,411,16122989
459658,48,411,16761792
459659,49,411,12297721
460775,44,412,6389136
460776,45,412,7138986
460777,46,412,12820973
460778,47,412,16769101
460779,48,412,16772189
460780,49,412,16759477
460781,50,412,8190334
461895,43,413,3105369
461896,44,413,16512433
461897,45,413,16743337
461898,46,413,16776398
461899,47,413,16779496
461900,48,413,16782587
461901,49,413,16785670
461902,50,413,7678189
463016,43,414,8484508
463017,44,414,16780564
463018,45,414,16783682
463019,46,414,16786791
463020,47,414,16789892
463021,48,414,14538242
463022,49,414,16762266
463023,50,414,8896899
464137,43,415,3443737
464138,44,415,16762150
464139,45,415,16794073
464140,46,415,16674394
464141,47,415,5479533
464142,48,415,1933466
464143,49,415,6270653
464144,50,415,4263919
465257,42,416,849382
465258,43,416,14290689
465259,44,416,16801342
465260,45,416,16804465
465261,46,416,13332133
465262,47,416,489455
466378,42,417,10629153
466379,43,417,16808598
466380,44,417,16811732
466381,45,417,16814858
466382,46,417,5791114
467499,42,418,10704786
467500,43,418,16818987
467501,44,418,16822124
467502,45,418,16815236
467503,46,418,4249700
468619,41,419,761217
468620,42,419,12414102
468621,43,419,16829376
468622,44,419,16832516
468623,45,419,15129782
468624,46,419,233996
469740,41,420,878064
469741,42,420,16695656
469742,43,420,16839766
469743,44,420,12343260
469744,45,420,2739643
470861,41,421,680397
470862,42,421,15741585
470863,43,421,16286833
470864,44,421,699042
471983,42,422,2757684
471984,43,422,3263913
