grib_id,hrap_x,hrap_y,bin_area
452930,46,405,45524
454049,44,406,3282607
454050,45,406,13482757
454051,46,406,9197045
455169,43,407,2474859
455170,44,407,3521423
455171,45,407,16488978
455172,46,407,5097832
456289,42,408,82432
456290,43,408,14055467
456291,44,408,16477673
456292,45,408,8790361
457410,42,409,1505906
457411,43,409,15529108
457412,44,409,16726236
457413,45,409,2644919
458531,42,410,9403078
458532,43,410,16735908
458533,44,410,12530644
459651,41,411,6305489
459652,42,411,16684615
459653,43,411,16464321
459654,44,411,4457274
460772,41,412,6080290
460773,42,412,7983885
460774,43,412,4235016
