grib_id,hrap_x,hrap_y,bin_area,area_name
156349,530,140,7146009,nueces
156350,531,140,8415000,nueces
157469,529,141,998587,nueces
157470,530,141,13272796,nueces
157471,531,141,13350500,nueces
157472,532,141,656574,nueces
158589,528,142,2765373,nueces
158590,529,142,6502436,nueces
158591,530,142,14505615,nueces
158592,531,142,14243165,nueces
158593,532,142,1519266,nueces
159708,526,143,615410,nueces
159709,527,143,6209153,nueces
159710,528,143,14353201,nueces
159711,529,143,14516507,nueces
159712,530,143,14515621,nueces
159713,531,143,11795034,nueces
160828,525,144,2870825,nueces
160829,526,144,10882022,nueces
160830,527,144,14528271,nueces
160831,528,144,14527398,nueces
160832,529,144,14526518,nueces
160833,530,144,14525631,nueces
160834,531,144,12618007,nueces
161947,523,145,10874,nueces
161948,524,145,1192836,nueces
161949,525,145,13105281,nueces
161950,526,145,14539155,nueces
161951,527,145,14538287,nueces
161952,528,145,14537414,nueces
161953,529,145,14536533,nueces
161954,530,145,14535645,nueces
161955,531,145,13127311,nueces
161956,532,145,1823383,nueces
163066,521,146,22,nueces
163067,522,146,3223791,nueces
163068,523,146,10702556,nueces
163069,524,146,14493368,nueces
163070,525,146,14550037,nueces
163071,526,146,14549175,nueces
163072,527,146,14548307,nueces
163073,528,146,14547432,nueces
163074,529,146,14546550,nueces
163075,530,146,14545662,nueces
163076,531,146,14544766,nueces
163077,532,146,14034540,nueces
163078,533,146,1721700,nueces
164185,519,147,833762,nueces
164186,520,147,12223277,nueces
164187,521,147,12180711,nueces
164188,522,147,14562607,nueces
164189,523,147,14561765,nueces
164190,524,147,14560917,nueces
164191,525,147,14560061,nueces
164192,526,147,14559199,nueces
164193,527,147,14558330,nueces
164194,528,147,14557454,nueces
164195,529,147,14556571,nueces
164196,530,147,14555682,nueces
164197,531,147,14554786,nueces
164198,532,147,14092141,nueces
164199,533,147,998971,nueces
165306,519,148,1372975,nueces
165307,520,148,14409872,nueces
165308,521,148,14573473,nueces
165309,522,148,14572637,nueces
165310,523,148,14571795,nueces
165311,524,148,14570945,nueces
165312,525,148,14570089,nueces
165313,526,148,14569226,nueces
165314,527,148,14568356,nueces
165315,528,148,14567479,nueces
165316,529,148,14566596,nueces
165317,530,148,14565705,nueces
165318,531,148,14564808,nueces
165319,532,148,6761441,nueces
166426,518,149,1187261,nueces
166427,519,149,11358867,nueces
166428,520,149,14196856,nueces
166429,521,149,14583508,nueces
166430,522,149,14582671,nueces
166431,523,149,14581828,nueces
166432,524,149,14580978,nueces
166433,525,149,14580120,nueces
166434,526,149,14579256,nueces
166435,527,149,14578386,nueces
166436,528,149,14577508,nueces
166437,529,149,14576623,nueces
166438,530,149,14575732,nueces
166439,531,149,12542822,nueces
166440,532,149,350354,nueces
167545,516,150,2690781,nueces
167546,517,150,10905531,nueces
167547,518,150,13498161,nueces
167548,519,150,14595200,nueces
167549,520,150,14594377,nueces
167550,521,150,14593546,nueces
167551,522,150,14592709,nueces
167552,523,150,14591864,nueces
167553,524,150,14591013,nueces
167554,525,150,14590155,nueces
167555,526,150,14589290,nueces
167556,527,150,14588418,nueces
167557,528,150,14587540,nueces
167558,529,150,14586655,nueces
167559,530,150,13956315,nueces
167560,531,150,4210216,nueces
168666,516,151,9204698,nueces
168667,517,151,14606872,nueces
168668,518,151,14606061,nueces
168669,519,151,14605244,nueces
168670,520,151,14604419,nueces
168671,521,151,14603587,nueces
168672,522,151,14602749,nueces
168673,523,151,14601904,nueces
168674,524,151,14601052,nueces
168675,525,151,14600193,nueces
168676,526,151,14599327,nueces
168677,527,151,14598455,nueces
168678,528,151,14597575,nueces
168679,529,151,14596689,nueces
168680,530,151,6563609,nueces
169787,516,152,7408279,nueces
169788,517,152,14616920,nueces
169789,518,152,14616109,nueces
169790,519,152,14615290,nueces
169791,520,152,14614465,nueces
169792,521,152,14613632,nueces
169793,522,152,14612793,nueces
169794,523,152,14611947,nueces
169795,524,152,14611094,nueces
169796,525,152,14610234,nueces
169797,526,152,14609368,nueces
169798,527,152,14608494,nueces
169799,528,152,14607614,nueces
169800,529,152,14606727,nueces
169801,530,152,2739643,nueces
170908,516,153,10342884,nueces
170909,517,153,14626972,nueces
170910,518,153,14626159,nueces
170911,519,153,14625340,nueces
170912,520,153,14624514,nueces
170913,521,153,14623680,nueces
170914,522,153,14622840,nueces
170915,523,153,14621993,nueces
170916,524,153,14621140,nueces
170917,525,153,14620279,nueces
170918,526,153,14619411,nueces
170919,527,153,14618537,nueces
170920,528,153,14617656,nueces
170921,529,153,14616768,nueces
170922,530,153,4037037,nueces
172027,514,154,657179,nueces
172028,515,154,7138943,nueces
172029,516,154,14618989,nueces
172030,517,154,14637027,nueces
172031,518,154,14636213,nueces
172032,519,154,14635393,nueces
172033,520,154,14634566,nueces
172034,521,154,14633732,nueces
172035,522,154,14632891,nueces
172036,523,154,14632043,nueces
172037,524,154,14631188,nueces
172038,525,154,14630327,nueces
172039,526,154,14629459,nueces
172040,527,154,14628583,nueces
172041,528,154,14627701,nueces
172042,529,154,12150671,nueces
172043,530,154,282905,nueces
173148,514,155,7024676,nueces
173149,515,155,14648692,nueces
173150,516,155,14647892,nueces
173151,517,155,14647085,nueces
173152,518,155,14646270,nueces
173153,519,155,14645449,nueces
173154,520,155,14644621,nueces
173155,521,155,14643786,nueces
173156,522,155,14642945,nueces
173157,523,155,14642096,nueces
173158,524,155,14641241,nueces
173159,525,155,14640378,nueces
173160,526,155,14639509,nueces
173161,527,155,14638633,nueces
173162,528,155,14637750,nueces
173163,529,155,10866894,nueces
174269,514,156,2653565,nueces
174270,515,156,14658755,nueces
174271,516,156,14657954,nueces
174272,517,156,14657146,nueces
174273,518,156,14656331,nueces
174274,519,156,14655509,nueces
174275,520,156,14654680,nueces
174276,521,156,14653844,nueces
174277,522,156,14653002,nueces
174278,523,156,14652152,nueces
174279,524,156,14651296,nueces
174280,525,156,14650433,nueces
