grib_id,hrap_x,hrap_y,bin_area
163086,541,146,6006278
164206,540,147,1282223
164207,541,147,14264204
164208,542,147,3693
165326,539,148,2869350
165327,540,148,1918308
165328,541,148,12892730
165329,542,148,375181
166446,538,149,1100426
166447,539,149,14336876
166448,540,149,12830426
166449,541,149,10654222
166450,542,149,159834
167567,538,150,6152752
167568,539,150,14577425
167569,540,150,14261235
167570,541,150,2543723
168688,538,151,7725947
168689,539,151,14587450
168690,540,151,14586489
168691,541,151,13027431
168692,542,151,7911912
169808,537,152,55091
169809,538,152,11216275
169810,539,152,14597478
169811,540,152,14596516
169812,541,152,6578699
170929,537,153,3518623
170930,538,153,14608466
170931,539,153,14607510
170932,540,153,12926980
170933,541,153,362880
172050,537,154,3179673
172051,538,154,14618502
172052,539,154,14617545
172053,540,154,14616580
172054,541,154,1379727
173170,536,155,855698
173171,537,155,13631218
173172,538,155,14628542
173173,539,155,14627583
173174,540,155,14626618
173175,541,155,5756997
174291,536,156,8571306
174292,537,156,14639537
174293,538,156,14638584
174294,539,156,14637624
174295,540,156,14636658
174296,541,156,6280871
175411,535,157,125559
175412,536,157,13848986
175413,537,157,14649583
175414,538,157,14648630
175415,539,157,14647669
175416,540,157,14591581
175417,541,157,1678980
176532,535,158,13644
176533,536,158,12511874
176534,537,158,14659633
176535,538,158,14658679
176536,539,158,14657717
176537,540,158,14069494
176538,541,158,956170
177654,536,159,7708320
177655,537,159,14669687
177656,538,159,14668731
177657,539,159,14667769
177658,540,159,10721573
178775,536,160,2951651
178776,537,160,14679743
178777,538,160,14678786
178778,539,160,7306827
178779,540,160,1386989
179896,536,161,2284349
179897,537,161,14228487
179898,538,161,7072836
179899,539,161,10666
181018,537,162,3655284
181019,538,162,20499
