grib_id,hrap_x,hrap_y,bin_area
159718,536,143,144580
159719,537,143,10247
160834,531,144,1010045
160835,532,144,501200
160839,536,144,3535383
160840,537,144,4443039
161955,531,145,1407440
161956,532,145,10669251
161957,533,145,6193083
161958,534,145,149023
161960,536,145,4208401
161961,537,145,10181034
163077,532,146,509324
163078,533,146,12821255
163079,534,146,14157034
163080,535,146,12657807
163081,536,146,14201393
163082,537,146,8712218
164198,532,147,461742
164199,533,147,13554002
164200,534,147,14552056
164201,535,147,14551132
164202,536,147,14550202
164203,537,147,12989757
164204,538,147,1783844
165319,532,148,7802463
165320,533,148,14562993
165321,534,148,14562075
165322,535,148,14561151
165323,536,148,14560220
165324,537,148,14559282
165325,538,148,13923732
165326,539,148,766484
166439,531,149,2032012
166440,532,149,14223575
166441,533,149,14573017
166442,534,149,14572099
166443,535,149,14571173
166444,536,149,14570241
166445,537,149,14569302
166446,538,149,13467930
166447,539,149,126943
167559,530,150,629447
167560,531,150,10374647
167561,532,150,14583957
167562,533,150,14583045
167563,534,150,14582125
167564,535,150,14581199
167565,536,150,14580265
167566,537,150,14579326
167567,538,150,8425626
168680,530,151,8032187
168681,531,151,14594896
168682,532,151,14593989
168683,533,151,14593075
168684,534,151,14592155
168685,535,151,14591228
168686,536,151,14590293
168687,537,151,14589352
168688,538,151,6862457
169801,530,152,11866190
169802,531,152,14604932
169803,532,152,14604024
169804,533,152,14603110
169805,534,152,14602188
169806,535,152,14601260
169807,536,152,14600325
169808,537,152,14544291
169809,538,152,3382159
170922,530,153,10578836
170923,531,153,14614971
170924,532,153,14614062
170925,533,153,14613147
170926,534,153,14612224
170927,535,153,14611295
170928,536,153,14610359
170929,537,153,11090793
172042,529,154,2476141
172043,530,154,14343011
172044,531,154,14625013
172045,532,154,14624104
172046,533,154,14623187
172047,534,154,14622264
172048,535,154,14621334
172049,536,154,14620397
172050,537,154,11439780
173163,529,155,3769966
173164,530,155,14635963
173165,531,155,14635059
173166,532,155,14634149
173167,533,155,14633231
173168,534,155,14632307
173169,535,155,14631376
173170,536,155,13774740
173171,537,155,998275
174284,529,156,6860452
174285,530,156,14646013
174286,531,156,14645108
174287,532,156,14644197
174288,533,156,14643279
174289,534,156,14642353
174290,535,156,14641421
174291,536,156,6069176
175405,529,157,5819512
175406,530,157,14656066
175407,531,157,14655161
175408,532,157,14654248
175409,533,157,14653329
175410,534,157,14652403
175411,535,157,14525911
175412,536,157,801544
176526,529,158,3370039
176527,530,158,12926621
176528,531,158,14665216
176529,532,158,14664303
176530,533,158,14663383
176531,534,158,14662456
176532,535,158,14647878
176533,536,158,2148707
177648,530,159,3854387
177649,531,159,14675275
177650,532,159,14674361
177651,533,159,14673440
177652,534,159,14672512
177653,535,159,14671577
177654,536,159,6962316
178769,530,160,2266620
178770,531,160,14685338
178771,532,160,14684422
178772,533,160,14683500
178773,534,160,14682571
178774,535,160,14681635
178775,536,160,11729041
179890,530,161,3661616
179891,531,161,14695403
179892,532,161,14694487
179893,533,161,14693564
179894,534,161,14692634
179895,535,161,14691697
179896,536,161,12406404
179897,537,161,461316
181011,530,162,11445601
181012,531,162,14705472
181013,532,162,14704555
181014,533,162,14703630
181015,534,162,14702700
181016,535,162,14701762
181017,536,162,14700817
181018,537,162,6207560
182132,530,163,8308949
182133,531,163,14715544
182134,532,163,14714625
182135,533,163,14713701
182136,534,163,14712769
182137,535,163,14711830
182138,536,163,14579877
182139,537,163,5186467
183253,530,164,5617783
183254,531,164,14725619
183255,532,164,14724700
183256,533,164,14723774
183257,534,164,13938406
183258,535,164,7166643
183259,536,164,5021933
184374,530,165,1123559
184375,531,165,8268174
184376,532,165,10043135
184377,533,165,9184839
184378,534,165,3955131
