grib_id,hrap_x,hrap_y,bin_area
170945,553,153,1024674
170946,554,153,3334416
170947,555,153,6136666
172065,552,154,2554422
172066,553,154,12150065
172067,554,154,14602361
172068,555,154,14587784
172069,556,154,2178845
173185,551,155,4834744
173186,552,155,13908543
173187,553,155,14613445
173188,554,155,14612384
173189,555,155,14611316
173190,556,155,6656115
174306,551,156,7459650
174307,552,156,14624527
174308,553,156,14623472
174309,554,156,14622410
174310,555,156,14621341
174311,556,156,11813396
175423,547,157,2103820
175424,548,157,1273612
175425,549,157,2853500
175426,550,157,6022005
175427,551,157,13451857
175428,552,157,14634559
175429,553,157,14633502
175430,554,157,14632439
175431,555,157,14631369
175432,556,157,6224192
176537,540,158,916
176538,541,158,2322838
176539,542,158,3118148
176540,543,158,2790793
176542,545,158,741258
176543,546,158,8011541
176544,547,158,14606747
176545,548,158,14012072
176546,549,158,14223812
176547,550,158,14646688
176548,551,158,14645644
176549,552,158,14644594
176550,553,158,14643536
176551,554,158,14642472
176552,555,158,14641400
176553,556,158,5479500
177658,540,159,3945227
177659,541,159,14665823
177660,542,159,14664840
177661,543,159,14619221
177662,544,159,8993777
177663,545,159,14596807
177664,546,159,14660839
177665,547,159,14659821
177666,548,159,14658797
177667,549,159,14657766
177668,550,159,14656728
177669,551,159,14655683
177670,552,159,14654631
177671,553,159,14653573
177672,554,159,14652507
177673,555,159,14651435
177674,556,159,13821734
177675,557,159,4376272
178778,539,160,7370996
178779,540,160,13289864
178780,541,160,14675876
178781,542,160,14674891
178782,543,160,14673900
178783,544,160,14672903
178784,545,160,14671898
178785,546,160,14670886
178786,547,160,14669868
178787,548,160,14668842
178788,549,160,14667810
178789,550,160,14666771
178790,551,160,14665725
178791,552,160,14664673
178792,553,160,14663613
178793,554,160,14662546
178794,555,160,14661473
178795,556,160,14660393
178796,557,160,9586878
179898,538,161,7616009
179899,539,161,14677215
179900,540,161,14686909
179901,541,161,14685931
179902,542,161,14684946
179903,543,161,14683954
179904,544,161,14682955
179905,545,161,14681950
179906,546,161,14680937
179907,547,161,14679918
179908,548,161,14678891
179909,549,161,14677858
179910,550,161,14676818
179911,551,161,14675771
179912,552,161,14674717
179913,553,161,14673656
179914,554,161,14672589
179915,555,161,14657520
179916,556,161,4449987
179917,557,161,156117
181018,537,162,4837022
181019,538,162,14678408
181020,539,162,14697942
181021,540,162,14696970
181022,541,162,14695990
181023,542,162,14695004
181024,543,162,14694011
181025,544,162,14693011
181026,545,162,14692005
181027,546,162,14690991
181028,547,162,14603734
181029,548,162,13927663
181030,549,162,14687909
181031,550,162,14686868
181032,551,162,14685820
181033,552,162,14684765
181034,553,162,14683703
181035,554,162,14673729
181036,555,162,7077137
182139,537,163,6869175
182140,538,163,7918285
182141,539,163,8625587
182142,540,163,14409731
182143,541,163,14706053
182144,542,163,14705066
182145,543,163,14704072
182146,544,163,14703071
182147,545,163,14702063
182148,546,163,9497004
182149,547,163,1265476
182150,548,163,38145
182151,549,163,2752268
182152,550,163,8098182
182153,551,163,12599373
182154,552,163,7628169
182155,553,163,4101915
182156,554,163,1860514
183263,540,164,1349491
183264,541,164,6048646
183265,542,164,11957496
183266,543,164,14648918
183267,544,164,14713133
183268,545,164,11810706
183269,546,164,1881218
184387,543,165,4255495
184388,544,165,4293725
184389,545,165,138662
